Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Number of Google Reviews,Normalized Rating,Normalized Fee,Normalized Time,Normalized Reviews,Weekend Availability Score,Significance Score,Type Score,Airport Score,Ranking Score
231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2.0,3.9,0,Yes,,Nature,Yes,0.1,Morning,10000.0,0.78,1.0,0.7142857142857143,0.013513513513513514,1.0,0.3,0.2,0.05,0.6881370656370656
101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3.0,4.5,300,No,,Wildlife,Yes,2.2,All,220000.00000000003,0.9,0.96,0.5714285714285714,0.2972972972972973,1.0,0.25,0.1,0.0,0.6876583011583011
199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2.0,4.1,0,No,,Recreational,Yes,0.01,All,1000.0,0.82,1.0,0.7142857142857143,0.0013513513513513514,1.0,0.25,0.1,0.0,0.6869208494208494
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3.0,4.6,0,Yes,Monday,Religious,No,0.18,All,18000.0,0.9199999999999999,1.0,0.5714285714285714,0.024324324324324326,1.0,0.2,0.4,0.05,0.6863610038610037
135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3.0,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,49000.0,0.9400000000000001,0.996,0.5714285714285714,0.06621621621621622,1.0,0.3,0.1,0.05,0.684950193050193
288,Southern,Puducherry,Auroville,Auroville,Township,1968,2.0,4.1,0,Yes,,Cultural,Yes,0.035,All,3500.0000000000005,0.82,1.0,0.7142857142857143,0.00472972972972973,1.0,0.15,0.1,0.05,0.6847586872586872
125,Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,Yes,,Recreational,Yes,0.1,Afternoon,10000.0,0.82,0.96,0.7142857142857143,0.013513513513513514,1.0,0.25,0.1,0.05,0.6846370656370655
10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,,Botanical,Yes,0.23,Morning,23000.0,0.82,0.9953333333333333,0.7142857142857143,0.031081081081081083,1.0,0.1,0.1,0.05,0.6841938223938223
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,,Wildlife,Yes,0.5,All,50000.0,0.86,0.996,0.6428571428571428,0.06756756756756757,1.0,0.25,0.1,0.05,0.6840138996138995
242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2.0,3.9,0,No,,Recreational,Yes,0.1,Morning,10000.0,0.78,1.0,0.7142857142857143,0.013513513513513514,1.0,0.25,0.2,0.0,0.6831370656370656
155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3.0,4.5,50,No,,Wildlife,Yes,0.2,All,20000.0,0.9,0.9933333333333333,0.5714285714285714,0.02702702702702703,1.0,0.25,0.4,0.0,0.680631274131274
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,,Wildlife,Yes,0.03,Afternoon,3000.0,0.78,0.9986666666666667,0.7142857142857143,0.004054054054054054,1.0,0.25,0.1,0.05,0.6794911196911195
